"id","user.id","created_at","text","hashtags","user_mentions"
809808840724201500,22286451,"Fri Dec 16 17:14:07 +0000 2016","#womensrights #WomensMarch ⚡️ “16 Days of Activism: #orangetheworld” by @UN_Women\n\nhttps://t.co/411S7SSi9E #endrapeculture #EqualPay","womensrights, WomensMarch, orangetheworld, endrapeculture, EqualPay","UN_Women"
809802676804325400,721992744210550800,"Fri Dec 16 16:49:38 +0000 2016","#Tunisia wants to stop #rapists marrying underage victims #endrapeculture https://t.co/0n7DGwPOA4","Tunisia, rapists, endrapeculture",""
809782142850826200,86190997,"Fri Dec 16 15:28:02 +0000 2016","🙄🙄🙄 #endrapeculture &amp; #blacklivesmatter !!! #fbf https://t.co/hj5mEiwoJL","endrapeculture, blacklivesmatter, fbf",""
809619886536327200,242560760,"Fri Dec 16 04:43:17 +0000 2016","@SBJLizMullen @StarTribune would like be to know more but at this point hoping we value safety over football #endrapeculture","endrapeculture","SBJLizMullen, StarTribune"
809605367508439000,1099917589,"Fri Dec 16 03:45:36 +0000 2016","@GopherFootball withdraw from the #HollidayBowl. Rape apologists need to go #EndRapeCulture","HollidayBowl, EndRapeCulture","GopherFootball"
809602451531628500,1863267187,"Fri Dec 16 03:34:00 +0000 2016","""...how to make our program great again."" Now where have I heard that before 😑 #EndRapeCulture https://t.co/efE6d3WFff","EndRapeCulture",""
809600124527657000,3261789056,"Fri Dec 16 03:24:45 +0000 2016","RT @GlenfordCanning: A woman loses an email, ""Lock her up! "" A man rapes a woman, ""Due process! Due process!"" #endrapeculture #VAW #cdnpoli","endrapeculture, VAW, cdnpoli","GlenfordCanning"
809598735529324500,3261789056,"Fri Dec 16 03:19:14 +0000 2016","RT @4n0nc47: BBC News - #LadyGaga says she has #PTSD after being #raped at 19 #EndRapeCulture #SexualAssault https://t.co/ymOWlW5qB1 …","LadyGaga, PTSD, raped, EndRapeCulture, SexualAssault","4n0nc47"
809591676347957200,3245787319,"Fri Dec 16 02:51:11 +0000 2016","As a woman who has been raped, I tell you there is no such thing as rape culture. Ppl rape. It's a problem, not a culture. #EndRapeCulture","EndRapeCulture",""
809591434298949600,2533060235,"Fri Dec 16 02:50:14 +0000 2016","RT @moneymenmeals: #EndRapeCulture https://t.co/uigcMtkNQp","EndRapeCulture","moneymenmeals"
809590645123731500,721992744210550800,"Fri Dec 16 02:47:05 +0000 2016","#JustSaySorry is an amazing initiative for an AMAZING CAUSE! #EndRapeCulture #EndSexualAssault #SexualAssault https://t.co/ntLM8cGifN","JustSaySorry, EndRapeCulture, EndSexualAssault, SexualAssault",""
809590377061584900,721992744210550800,"Fri Dec 16 02:46:02 +0000 2016","RT @GlenfordCanning: A woman loses an email, ""Lock her up! "" A man rapes a woman, ""Due process! Due process!"" #endrapeculture #VAW #cdnpoli","endrapeculture, VAW, cdnpoli","GlenfordCanning"
809590297231405000,721992744210550800,"Fri Dec 16 02:45:42 +0000 2016","RT @GlenfordCanning: 2nd time around after the 1st judge  relied on “discredited myths and stereotypes.”  #endrapeculture #cdnpoli https://…","endrapeculture, cdnpoli","GlenfordCanning"
809590265832837100,721992744210550800,"Fri Dec 16 02:45:35 +0000 2016","RT @4n0nc47: BBC News - #LadyGaga says she has #PTSD after being #raped at 19 #EndRapeCulture #SexualAssault https://t.co/ymOWlW5qB1 …","LadyGaga, PTSD, raped, EndRapeCulture, SexualAssault","4n0nc47"
809590044642066400,721992744210550800,"Fri Dec 16 02:44:42 +0000 2016","BBC News - #LadyGaga says she has #PTSD after being #raped at 19 #EndRapeCulture #SexualAssault https://t.co/ymOWlW5qB1 …","LadyGaga, PTSD, raped, EndRapeCulture, SexualAssault",""
809570397448454100,4862707660,"Fri Dec 16 01:26:38 +0000 2016","RT @moneymenmeals: #EndRapeCulture https://t.co/uigcMtkNQp","EndRapeCulture","moneymenmeals"
809570252895977500,323337127,"Fri Dec 16 01:26:04 +0000 2016","RT @moneymenmeals: #EndRapeCulture https://t.co/uigcMtkNQp","EndRapeCulture","moneymenmeals"
809569323283058700,1074588380,"Fri Dec 16 01:22:22 +0000 2016","RT @moneymenmeals: #EndRapeCulture https://t.co/uigcMtkNQp","EndRapeCulture","moneymenmeals"
809514836652494800,227037618,"Thu Dec 15 21:45:51 +0000 2016","Great interview @DateSafeProject! I can't wait to read your book and share it with my clients, family &amp; friends!… https://t.co/nLNLe0dtSB","","DateSafeProject"
809410149018468400,2334852392,"Thu Dec 15 14:49:52 +0000 2016","RT @DelphiHurley: The URGENCY of #RegenerativeLivelihoods and how they can help #ENDRAPECULTURE is a reoccurring theme in all @DanceTReks F…","RegenerativeLivelihoods, ENDRAPECULTURE","DelphiHurley, DanceTreks"
809389979155726300,17706784,"Thu Dec 15 13:29:43 +0000 2016","2nd time around after the 1st judge  relied on “discredited myths and stereotypes.”  #endrapeculture #cdnpoli https://t.co/P0LAfsyOOq","endrapeculture, cdnpoli",""
809388394665177100,18434717,"Thu Dec 15 13:23:25 +0000 2016","RT @DelphiHurley: The URGENCY of #RegenerativeLivelihoods and how they can help #ENDRAPECULTURE is a reoccurring theme in all @DanceTReks F…","RegenerativeLivelihoods, ENDRAPECULTURE","DelphiHurley, DanceTreks"
809387887372406800,800673423198257200,"Thu Dec 15 13:21:24 +0000 2016","RT @DelphiHurley: The URGENCY of #RegenerativeLivelihoods and how they can help #ENDRAPECULTURE is a reoccurring theme in all @DanceTReks F…","RegenerativeLivelihoods, ENDRAPECULTURE","DelphiHurley, DanceTreks"
809387783026577400,18434717,"Thu Dec 15 13:20:59 +0000 2016","The URGENCY of #RegenerativeLivelihoods and how they can help #ENDRAPECULTURE is a reoccurring theme in all… https://t.co/Uh1izophk4","RegenerativeLivelihoods, ENDRAPECULTURE",""
809326226896629800,73087673,"Thu Dec 15 09:16:23 +0000 2016","@enochmailangi I got banned from queer cus I spoke against my rapist. UTS GR defends them still! #Shame #EndRapeCulture #nusnatcon","Shame, EndRapeCulture, nusnatcon","enochmailangi"
809181035376296000,3272382895,"Wed Dec 14 23:39:27 +0000 2016","PTSD is a bitch. #endthestigma #endrapeculture #LetsTalk","endthestigma, endrapeculture, LetsTalk",""
809105628631355400,3190085504,"Wed Dec 14 18:39:48 +0000 2016","Glad a #PUA subhuman finally got sentenced 4 their shit. Light sentence and victim had to do cops' job but it's something. #endrapeculture","PUA, endrapeculture",""
809103700404928500,713140275,"Wed Dec 14 18:32:09 +0000 2016","#repost #endrapeculture #consent #stoprapeculture #nomeansno https://t.co/bL6rNoN2Ln","repost, endrapeculture, consent, stoprapeculture, nomeansno",""
809057144439980000,169688416,"Wed Dec 14 15:27:09 +0000 2016","Men who wanted to be free to sexually assault decided that coercion wasn't enough and let so many rapists run free… https://t.co/yCAJCZLFEF","",""
809056618793095200,169688416,"Wed Dec 14 15:25:04 +0000 2016","#EndRapeCulture You normalized sexual assault when you let the first rapist run free. https://t.co/YMYCuUKHbC","EndRapeCulture",""
809055614991269900,169688416,"Wed Dec 14 15:21:04 +0000 2016","""Masturbating just isn't the same"" isn't a valid excuse for coercing people into sex with you. #EndRapeCulture https://t.co/7Jyx1wDy2S","EndRapeCulture",""
809054937141362700,169688416,"Wed Dec 14 15:18:23 +0000 2016","A lack of self control isn't what makes men men, it's what makes them animals. #EndRapeCulture https://t.co/RK8P1zWLeY","EndRapeCulture",""
809009166882897900,9585492,"Wed Dec 14 12:16:30 +0000 2016","Training soon to be a Sexual Assault Nurse Examiner(SANE). Please watch on Netflix #audrieanddaisy\n #endrapeculture #itsnotokay #sanenurse","audrieanddaisy, endrapeculture, itsnotokay, sanenurse",""
808940422286471200,2605528509,"Wed Dec 14 07:43:20 +0000 2016","If a dog can tell the difference between 'yes' and 'no' so can you. \n#EndRapeCulture #Rights #Feminism","EndRapeCulture, Rights, Feminism",""
808821852009328600,3298917183,"Tue Dec 13 23:52:11 +0000 2016","RT @121dealbreakers: #endrapeculture #VAW #DV #abuse #relationshipabuse #dating #NOMORE #trauma #rape #warmwishes #endVAW #maybehedoesnthit…","endrapeculture, VAW, DV, abuse, relationshipabuse, dating, NOMORE, trauma, rape, warmwishes, endVAW","121dealbreakers"
808819296600064000,18434717,"Tue Dec 13 23:42:02 +0000 2016","#TAKINGITTOTHESTRUTS #UNLOCKCASH #ENDRAPECULTURE #DanceTReks 10 EST #UNTILFURTHER #NOTEICE… https://t.co/bATRNhqAKd","TAKINGITTOTHESTRUTS, UNLOCKCASH, ENDRAPECULTURE, DanceTReks, UNTILFURTHER, NOTEICE",""
808756256785702900,790209505502105600,"Tue Dec 13 19:31:32 +0000 2016","Help erase rape culture &amp; prevent victim blaming\n#endrapeculture #endvictimblaming","endrapeculture, endvictimblaming",""
808692510289756200,1725506606,"Tue Dec 13 15:18:13 +0000 2016","RT @PAVEBennington: Hand out this nifty rape-culture explainer to your next catcaller https://t.co/6fYQftI8PH via @dailydot #EndRapeCulture","EndRapeCulture","PAVEBennington, dailydot"
