"id","user.id","created_at","text","hashtags","user_mentions"
809805928434454500,2885493135,"Fri Dec 16 17:02:33 +0000 2016","RT @HauteDerriere: Men...don't test me, you will regret it! #masculinitysofragile #strongwomen #confidentwomen 👸👸👸 https://t.co/Ii3pgtN5Es","masculinitysofragile, strongwomen, confidentwomen","HauteDerriere"
809805614448832500,2825186511,"Fri Dec 16 17:01:18 +0000 2016","Men...don't test me, you will regret it! #masculinitysofragile #strongwomen #confidentwomen 👸👸👸 https://t.co/Ii3pgtN5Es","masculinitysofragile, strongwomen, confidentwomen",""
809789504366280700,974563134,"Fri Dec 16 15:57:17 +0000 2016","#masculinitysofragile https://t.co/0L7pXF2LX2","masculinitysofragile",""
809783624128200700,229171034,"Fri Dec 16 15:33:55 +0000 2016","RT @jprintup1: Why is your masculinity threatened? #masculinitysofragile https://t.co/2mNfAwYbj1","masculinitysofragile","jprintup1"
809783592259846100,2396941807,"Fri Dec 16 15:33:48 +0000 2016","RT @jprintup1: Why is your masculinity threatened? #masculinitysofragile https://t.co/2mNfAwYbj1","masculinitysofragile","jprintup1"
809783271408201700,201019969,"Fri Dec 16 15:32:31 +0000 2016","RT @jprintup1: Why is your masculinity threatened? #masculinitysofragile https://t.co/2mNfAwYbj1","masculinitysofragile","jprintup1"
809777785896112100,39367039,"Fri Dec 16 15:10:43 +0000 2016","Why is your masculinity threatened? #masculinitysofragile https://t.co/2mNfAwYbj1","masculinitysofragile",""
809761056532951000,2825186511,"Fri Dec 16 14:04:15 +0000 2016","Don't forget what you were put on this planet to do ... Rule!! #ruletheworld #girlpower #feministfightclub… https://t.co/FNPbpcRIBn","ruletheworld, girlpower, feministfightclub",""
809755241214251000,370984508,"Fri Dec 16 13:41:08 +0000 2016","RT @sandyd68: #masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention","sandyd68"
809745372507754500,2191825469,"Fri Dec 16 13:01:55 +0000 2016","RT @sandyd68: #masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention","sandyd68"
809745065262321700,295119772,"Fri Dec 16 13:00:42 +0000 2016","RT @sandyd68: #masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention","sandyd68"
809739244998717400,40794652,"Fri Dec 16 12:37:34 +0000 2016","RT @HauteDerriere: 🤘🤘 I'm sure we've all had to deal lately! #masculinitysofragile #fem2 #strongwomen 🤘🤘 https://t.co/IMIW3VmxMB","masculinitysofragile, fem2, strongwomen","HauteDerriere"
809731029833515000,2345867178,"Fri Dec 16 12:04:56 +0000 2016","RT @sandyd68: #masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention","sandyd68"
809730619680952300,81607832,"Fri Dec 16 12:03:18 +0000 2016","RT @sandyd68: #masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention","sandyd68"
809730102565240800,163182721,"Fri Dec 16 12:01:15 +0000 2016","#masculinitysofragile that he abuses his right to speak to derail a bill #IstanbulConvention https://t.co/El4xQYMy7s","masculinitysofragile, IstanbulConvention",""
809715563622793200,1162785343,"Fri Dec 16 11:03:28 +0000 2016","RT @HauteDerriere: The hardest part of my life, is dealing with the other half of us ... the men #masculinitysofragile #feministfightclub #…","masculinitysofragile, feministfightclub","HauteDerriere"
809714963661123600,2825186511,"Fri Dec 16 11:01:05 +0000 2016","The hardest part of my life, is dealing with the other half of us ... the men #masculinitysofragile… https://t.co/qY66R8cZ2L","masculinitysofragile",""
809708100727013400,2741029003,"Fri Dec 16 10:33:49 +0000 2016","@LilyMarieMFC @LeeLudicrous i was at lowe's (hardware/home improvement store) and they had kleenex in camo packaging. #masculinitysofragile","masculinitysofragile","LilyMarieMFC, LeeLudicrous"
809675714454818800,2825186511,"Fri Dec 16 08:25:08 +0000 2016","🤘🤘 I'm sure we've all had to deal lately! #masculinitysofragile #fem2 #strongwomen 🤘🤘 https://t.co/IMIW3VmxMB","masculinitysofragile, fem2, strongwomen",""
809664304903495700,92835654,"Fri Dec 16 07:39:47 +0000 2016","@Shunato56 @jere7my @FrankConniff #masculinitysofragile","masculinitysofragile","Shunato56, jere7my, FrankConniff"
809628976759115800,66493463,"Fri Dec 16 05:19:24 +0000 2016","#MasculinitySoFragile https://t.co/EMC20rLt73","MasculinitySoFragile",""
809622832472789000,28246817,"Fri Dec 16 04:54:59 +0000 2016","@Raquel_Savage love how men take everything so personally. Think there's a hashtag for that #masculinitysofragile","masculinitysofragile","Raquel_Savage"
809602399606190100,710914224130695200,"Fri Dec 16 03:33:48 +0000 2016","@lizscarr I really have 2 work on being more accessible so that guys can feel more comfortable around me. Poor things #masculinitysofragile","masculinitysofragile","lizscarr"
809601579066085400,2782224720,"Fri Dec 16 03:30:32 +0000 2016","@FrequentDeleter Also #MasculinitySoFragile but they hold up ""I NEED Feminism"" Signs. Tell me who needs propping up and Coddling? LMFAO.","MasculinitySoFragile","FrequentDeleter"
809570006124130300,2825186511,"Fri Dec 16 01:25:05 +0000 2016","Don't let them bring you down ❤️❤️ #masculinitysofragile #feministfightclub https://t.co/o8R8POfHLU","masculinitysofragile, feministfightclub",""
809568164354854900,115193323,"Fri Dec 16 01:17:46 +0000 2016","I always lose followers after tweeting/rt'ing things about how I don't need validation from men. #masculinitysofragile","masculinitysofragile",""
809566201584218100,785596146399875100,"Fri Dec 16 01:09:58 +0000 2016","RT @anicdote: My students and I spent tonight talking about this very thing #masculinitysofragile  https://t.co/7DKJWJ91P8","masculinitysofragile","anicdote"
809565858251075600,200666573,"Fri Dec 16 01:08:36 +0000 2016","My students and I spent tonight talking about this very thing #masculinitysofragile  https://t.co/7DKJWJ91P8","masculinitysofragile",""
809563010708734000,39926655,"Fri Dec 16 00:57:17 +0000 2016","@tracylrodgers @LBardugo @sutherbuster_69 I think you may be  onto something! #masculinitysofragile","masculinitysofragile","tracylrodgers, LBardugo, sutherbuster_69"
809551486980071400,2369742842,"Fri Dec 16 00:11:29 +0000 2016","#MasculinitySoFragile https://t.co/sbLYd7HEx4","MasculinitySoFragile",""
809521271520235500,805541468488237000,"Thu Dec 15 22:11:25 +0000 2016","Men prefer women who are dumb and listen to what they say, because if they're smart it's threatening. #MasculinitySoFragile","MasculinitySoFragile",""
809518853004722200,794969684353355800,"Thu Dec 15 22:01:49 +0000 2016","#MasculinitySoFragile #Triggered https://t.co/n7JwTzfnd8","MasculinitySoFragile, Triggered",""
809518179995160600,248966466,"Thu Dec 15 21:59:08 +0000 2016","RT @HauteDerriere: 🤘🤘 I'm sure we've all had to deal lately! #masculinitysofragile #fem2 #strongwomen 🤘🤘 https://t.co/hAOmBbI8Iu","masculinitysofragile, fem2, strongwomen","HauteDerriere"
809493843871604700,437065293,"Thu Dec 15 20:22:26 +0000 2016","RT @carverjessica23: #masculinitysofragile  that its more important to teach women to reject men politely than it is to teach men to accept…","masculinitysofragile","carverjessica23"
809489176332800000,15593412,"Thu Dec 15 20:03:53 +0000 2016","Dudes pretending they don't get the attraction to Momoa is my fave #masculinitysofragile today","masculinitysofragile",""
809485607940608000,20002016,"Thu Dec 15 19:49:43 +0000 2016","So relevant. #Repost @kimmi_page with repostapp\n・・・\n😂😂😂😂😂😂😂😂 #masculinitysofragile https://t.co/WDzpbB5ZVb","Repost, masculinitysofragile","kimmi_page"
809480454743228400,9107942,"Thu Dec 15 19:29:14 +0000 2016","#masculinitysofragile https://t.co/wfGe73b8kZ","masculinitysofragile",""
809479604029235200,1162785343,"Thu Dec 15 19:25:51 +0000 2016","RT @HauteDerriere: Men...don't test me, you will regret it! #masculinitysofragile #strongwomen #confidentwomen 👸👸👸 https://t.co/SQ4eEWnybj","masculinitysofragile, strongwomen, confidentwomen","HauteDerriere"
