"id","user.id","created_at","text","hashtags","user_mentions"
809809239652892700,424326821,"Fri Dec 16 17:15:42 +0000 2016","RT @Geekonomicon: .@ctrm045 @AidenWolfe Trolling is #NOTokay.  It's #bullying by another name.","NOTokay, bullying","Geekonomicon, ctrm045, AidenWolfe"
809806932345323500,734090702,"Fri Dec 16 17:06:32 +0000 2016","So, I am @StarbucksCanada doing some work &amp; someone came in asked for hot water and threw it at an elderly man! #shocked #wtf #NOTokay","shocked, wtf, NOTokay","StarbucksCanada"
809805223686455300,2773975546,"Fri Dec 16 16:59:45 +0000 2016","Thanks @ToysRUs Just what every mom wants to see packed in their Christmas order #unbelievable #fail #NOTokay https://t.co/War1MOlJRA","unbelievable, fail, NOTokay","ToysRUs"
809804705048232000,455191355,"Fri Dec 16 16:57:41 +0000 2016",".@ctrm045 @AidenWolfe Trolling is #NOTokay.  It's #bullying by another name.","NOTokay, bullying","ctrm045, AidenWolfe"
809803469297225700,2318872662,"Fri Dec 16 16:52:47 +0000 2016","RT @FaithFlaherty3: @mrntweet2 @JohnTDolan @silenceconsent #MakingAmericaGreatAgain 👍🏼😍🇺🇸 #NOTokay @realDonaldTrump MyPresident AmericaFirs…","MakingAmericaGreatAgain, NOTokay","FaithFlaherty3, mrntweet2, JohnTDolan, silenceconsent, realDonaldTrump"
809803241072377900,84122107,"Fri Dec 16 16:51:52 +0000 2016","RT @TwitterCanada: The votes are in. @kellyoxford is our #TopCanadian2016. 🇨🇦 #notokay https://t.co/jDSeolbfLL","TopCanadian2016, notokay","TwitterCanada, kellyoxford"
809803162085265400,3118571728,"Fri Dec 16 16:51:33 +0000 2016","RT @vaibhavnaman: चाक जिगर के सी लेते है... जैसे भी हो जी लेते है... 😢 #NOTokay #Sad #memories","NOTokay, Sad, memories","vaibhavnaman"
809803111996870700,3118571728,"Fri Dec 16 16:51:21 +0000 2016","चाक जिगर के सी लेते है... जैसे भी हो जी लेते है... 😢 #NOTokay #Sad #memories","NOTokay, Sad, memories",""
809802756345081900,765616871567568900,"Fri Dec 16 16:49:57 +0000 2016","RT @FaithFlaherty3: @mrntweet2 @JohnTDolan @silenceconsent #MakingAmericaGreatAgain 👍🏼😍🇺🇸 #NOTokay @realDonaldTrump MyPresident AmericaFirs…","MakingAmericaGreatAgain, NOTokay","FaithFlaherty3, mrntweet2, JohnTDolan, silenceconsent, realDonaldTrump"
809798932536537100,3854145923,"Fri Dec 16 16:34:45 +0000 2016","It works. Yer welcome. https://t.co/pQlmsTFRUS #notmypresident #Resistance #RESIGN #EnoughIsEnough #notokay #dumptrump2016 #donthecon","notmypresident, Resistance, RESIGN, EnoughIsEnough, notokay, dumptrump2016, donthecon",""
809798508123394000,2374664406,"Fri Dec 16 16:33:04 +0000 2016","RT @TwitterCanada: The votes are in. @kellyoxford is our #TopCanadian2016. 🇨🇦 #notokay https://t.co/jDSeolbfLL","TopCanadian2016, notokay","TwitterCanada, kellyoxford"
809798478721216500,703785057836662800,"Fri Dec 16 16:32:57 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809797735272644600,17043909,"Fri Dec 16 16:30:00 +0000 2016","@kellyoxford Congratulations!!  Beautiful, wonderful, meaningful work!  #NOTokay","NOTokay","kellyoxford"
809794555931402200,85230067,"Fri Dec 16 16:17:22 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809791076647260200,325118968,"Fri Dec 16 16:03:32 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809789947129503700,719865361986953200,"Fri Dec 16 15:59:03 +0000 2016","""FAKE"" Ethics Award for Pharma Giant Johnson &amp; Johnson? #TiredOfFake #NOTokay  https://t.co/LnOzfoCDsx","TiredOfFake, NOTokay",""
809789780980539400,776514789329793000,"Fri Dec 16 15:58:23 +0000 2016","#NOTokay https://t.co/8ko1VEgepM","NOTokay",""
809789162190762000,3244509166,"Fri Dec 16 15:55:56 +0000 2016","RT @TwitterCanada: The votes are in. @kellyoxford is our #TopCanadian2016. 🇨🇦 #notokay https://t.co/jDSeolbfLL","TopCanadian2016, notokay","TwitterCanada, kellyoxford"
809788735118254100,14070078,"Fri Dec 16 15:54:14 +0000 2016","The #GOP's antics in #NC are #NOTokay. Please help shine a light on this. https://t.co/9yRkP2xo87","GOP, NC, NOTokay",""
809788145948454900,17355561,"Fri Dec 16 15:51:53 +0000 2016","RT @TwitterCanada: The votes are in. @kellyoxford is our #TopCanadian2016. 🇨🇦 #notokay https://t.co/jDSeolbfLL","TopCanadian2016, notokay","TwitterCanada, kellyoxford"
809788136620339200,329859326,"Fri Dec 16 15:51:51 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809786207693586400,719865361986953200,"Fri Dec 16 15:44:11 +0000 2016",":( Healthcare Policy Driven by Wealth NOT Health? Profits OVER Patients? FAKE SCIENCE to Justify Unhealthy Policy?… https://t.co/hqtwjyPw7I","",""
809785166810009600,701532669587411000,"Fri Dec 16 15:40:03 +0000 2016","Congrats @kellyoxford for winning #TopCanadian2016 for #notokay! Victims of sexual assault have a voice - she helped make people listen.","TopCanadian2016, notokay","kellyoxford"
809784494597214200,26788459,"Fri Dec 16 15:37:23 +0000 2016","She's great!  🇨🇦🇨🇦 #NOTokay https://t.co/MPlUZydwCu","NOTokay",""
809783695905267700,161451768,"Fri Dec 16 15:34:12 +0000 2016","When I stopped hiking alone, my nephew suggested I research statistics to feel more confident. #yesallwomen #notokay https://t.co/IU0RkZMRPF","yesallwomen, notokay",""
809783294057291800,33454982,"Fri Dec 16 15:32:37 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809783233235787800,715340342917079000,"Fri Dec 16 15:32:22 +0000 2016","RT @snowinaugust23: Rape culture is #notokay #NoMoreShame","notokay, NoMoreShame","snowinaugust23"
809783151795077100,715340342917079000,"Fri Dec 16 15:32:03 +0000 2016","RT @GreggRenfrew: Beauty products for black women are full of dodgy ingredients: https://t.co/GqNGr8c1pU #NotOkay #betterbeauty","NotOkay, betterbeauty","GreggRenfrew"
809781978539008000,36143173,"Fri Dec 16 15:27:23 +0000 2016","RT @kellyoxford: So proud of what we did with #notokay Not only was it a significant moment of cultural… https://t.co/z0iGQfD1WT","notokay","kellyoxford"
809781830807330800,145329747,"Fri Dec 16 15:26:48 +0000 2016","@kellyoxford Yes! #notokay Happy you got this!","notokay","kellyoxford"
809781747126767600,904001360,"Fri Dec 16 15:26:28 +0000 2016","@kellyoxford congratulations! what you did for women is incredible. Proud that you're 🇨🇦 #NOTokay","NOTokay","kellyoxford"
