"id","user.id","created_at","text","hashtags","user_mentions"
809809041828548600,41136905,"Fri Dec 16 17:14:55 +0000 2016","RT @coyahope: How can the gophers coach support this? This is disgusting. @GoldenGopherHFC @MPRnews #rapeculture\nhttps://t.co/8XFoFhmLVT","rapeculture","coyahope, GoldenGopherHFC, MPRnews"
809808651888119800,17013467,"Fri Dec 16 17:13:22 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
809808328067088400,19245146,"Fri Dec 16 17:12:05 +0000 2016","Shameful @PrezKaler @GoldenGopherHFC protecting folks who commit sexual assault is the worst of sports. #rapeculture\nhttps://t.co/6SEj6qWABC","rapeculture","PrezKaler, GoldenGopherHFC"
809807853657591800,758876521,"Fri Dec 16 17:10:12 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
809807136054198300,112287707,"Fri Dec 16 17:07:21 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
809807124628914200,19245146,"Fri Dec 16 17:07:18 +0000 2016","The only reason these football players feel this is ok is cuz institutional support. @PrezKaler \n#rapeculture #gophersGoneWrong","rapeculture, gophersGoneWrong","PrezKaler"
809807020870238200,3161271378,"Fri Dec 16 17:06:53 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
809806578211819500,2550736478,"Fri Dec 16 17:05:08 +0000 2016","As a culture saturated with media, there are opportunities to shape conversations about sexual violence #rapeculture\nhttps://t.co/Ld5uFWMw4B","rapeculture",""
809806437228642300,50495265,"Fri Dec 16 17:04:34 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
809806398913675300,130694028,"Fri Dec 16 17:04:25 +0000 2016","RT @Lrihendry: Obama's ""DREAMERS"" are America's NIGHTMARES! \n\n#Deport #NoRefugees #MAGA #rapeCulture https://t.co/qgKmkkhRXU","Deport, NoRefugees, MAGA, rapeCulture","Lrihendry"
