"id","user.id","created_at","text","hashtags","user_mentions"
809569780042711000,743917645045571600,"Fri Dec 16 01:24:11 +0000 2016","#RapeCultureIsWhen One of our followers sent us this screenshot of a man basically outing himself as a sex... https://t.co/bgoKc7FTaJ","RapeCultureIsWhen",""
809007224542687200,2811544967,"Wed Dec 14 12:08:47 +0000 2016","#rapeculture #rapecultureiswhen #misogyny... - #CharlotteFarhan | # rapeculture #... https://t.co/aFcnMWtMPz https://t.co/XYUC1yz7k4","rapeculture, rapecultureiswhen, misogyny, CharlotteFarhan",""
809004955541655600,301134298,"Wed Dec 14 11:59:46 +0000 2016","#rapeculture #rapecultureiswhen #misogyny #sexism #whywomendontreport #trump https://t.co/TXZCgzrmcE","rapeculture, rapecultureiswhen, misogyny, sexism, whywomendontreport, trump",""
808749514983030800,99379216,"Tue Dec 13 19:04:44 +0000 2016","RT @miemiiiek: #WhyIStayed \n#rapecultureiswhen #YesAllWomen \n考えなければならないこと多すぎて頭パンクする https://t.co/4nuW1HofUC","WhyIStayed, rapecultureiswhen, YesAllWomen","miemiiiek"
808702748447359000,743917645045571600,"Tue Dec 13 15:58:54 +0000 2016","#RapeCultureIsWhen https://t.co/4vDkGdq2jS","RapeCultureIsWhen",""
807962500616650800,494362312,"Sun Dec 11 14:57:26 +0000 2016","RT @KatePow3ll: This makes me feel physically sick. 😷😰 #YesAllWomen #RapeCultureIsWhen http://t.co/rfMrnfHdBz","YesAllWomen, RapeCultureIsWhen","KatePow3ll"
807723210217132000,339569567,"Sat Dec 10 23:06:34 +0000 2016","#rapecultureiswhen they transfer said rapist to another store to cover up the fact that everyone in the store knows he's a rapist","rapecultureiswhen",""
807722959729086500,339569567,"Sat Dec 10 23:05:35 +0000 2016","#rapecultureiswhen Whole Foods Market keeps a rapist employed even after being told multiple times by women that they don't feel safe","rapecultureiswhen",""
807662485922873300,3044684752,"Sat Dec 10 19:05:16 +0000 2016","How Should We Talk About Sexual Assault? Read more on RUBY. https://t.co/Yw4tV9zNLP #sexualassault #assaultsupport… https://t.co/P9BYErdAmq","sexualassault, assaultsupport",""
807408399923064800,792647014320181200,"Sat Dec 10 02:15:38 +0000 2016","'Rape victims should not have abortions.' This angers me. #RapeCultureIsWhen #YesAllWomen #ToTheGirls  https://t.co/pkmlxmLPKb via @theage","RapeCultureIsWhen, YesAllWomen, ToTheGirls","theage"
807371208845066200,743917645045571600,"Fri Dec 09 23:47:51 +0000 2016","😡😡😡😡 #RapeCultureIsWhen https://t.co/y6Yt6dk343","RapeCultureIsWhen",""
807247454470975500,507551172,"Fri Dec 09 15:36:05 +0000 2016","#WhyIStayed \n#rapecultureiswhen #YesAllWomen \n考えなければならないこと多すぎて頭パンクする https://t.co/4nuW1HofUC","WhyIStayed, rapecultureiswhen, YesAllWomen",""
807062876091482100,827324983,"Fri Dec 09 03:22:38 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806990504466452500,16538070,"Thu Dec 08 22:35:04 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806990242309754900,2481255624,"Thu Dec 08 22:34:01 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806989761315475500,2920759605,"Thu Dec 08 22:32:06 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806981342101733400,82722757,"Thu Dec 08 21:58:39 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806980804932993000,592715127,"Thu Dec 08 21:56:31 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806980719817814000,234306352,"Thu Dec 08 21:56:11 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806979097830170600,299220494,"Thu Dec 08 21:49:44 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806978658372034600,484779077,"Thu Dec 08 21:47:59 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806978323200888800,618584235,"Thu Dec 08 21:46:39 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806977866621546500,41639763,"Thu Dec 08 21:44:50 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806977789048082400,757727943602954200,"Thu Dec 08 21:44:32 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806977421413122000,23860507,"Thu Dec 08 21:43:04 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806976806049837000,16043254,"Thu Dec 08 21:40:38 +0000 2016","RT @GoddessKerriLyn: #RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen","GoddessKerriLyn"
806975804471124000,2920759605,"Thu Dec 08 21:36:39 +0000 2016","#RapeCultureIsWhen rapists STILL blame the victim. 2016. https://t.co/FqWgTVgovQ","RapeCultureIsWhen",""
806869793768898600,743917645045571600,"Thu Dec 08 14:35:24 +0000 2016","#RapeCultureIsWhen https://t.co/HTh8x5lu8n","RapeCultureIsWhen",""
