"id","user.id","created_at","text","hashtags","user_mentions"
809805680492314600,289573362,"Fri Dec 16 17:01:34 +0000 2016","#PrisonGuard dad has just the #woman who #AverageJoeSexOffender can start his #career of #SexualViolence against—have a #PartyonthePatio","PrisonGuard, woman, AverageJoeSexOffender, career, SexualViolence, PartyonthePatio",""
809798631809290200,289573362,"Fri Dec 16 16:33:33 +0000 2016","who really cares if ur a #Cop #Fireman #Lawyer or #CEO—YOU #committ #SexualViolence makes u #AverageJoeSexOffender who is not above the #LAW","Cop, Fireman, Lawyer, CEO, committ, SexualViolence, AverageJoeSexOffender, LAW",""
809792004049739800,23637601,"Fri Dec 16 16:07:13 +0000 2016","Great to be with @MassPromise today talking about how to #supportsurvivors of #sexualviolence! https://t.co/mDqo23v4c4","supportsurvivors, sexualviolence","MassPromise"
809784653984989200,3144155405,"Fri Dec 16 15:38:01 +0000 2016","""Wartime #sexualviolence not inevitable. Impunity of #rapists is one of the main causes"". #IHL\nvia @Trial @LucieCnl https://t.co/7ZHuON41n9","sexualviolence, rapists, IHL","Trial, LucieCnl"
809774027229298700,255757620,"Fri Dec 16 14:55:47 +0000 2016","Widespread allegations of sexual assault within #LosAngeles' bartending community: https://t.co/blKVqvlJxh #WomenAtWork #SexualViolence","LosAngeles, WomenAtWork, SexualViolence",""
809760645939953700,800292470055530500,"Fri Dec 16 14:02:37 +0000 2016","RT @UKSAYSNOMORE: This can be a significant change for all  those experiencing domestic and #SexualViolence - more to follow\nhttps://t.co/Q…","SexualViolence","UKSAYSNOMORE"
809759241707913200,360745274,"Fri Dec 16 13:57:02 +0000 2016","Officially, #sexualviolence has declined in the DRC, but frontline workers tell a different story:… https://t.co/GP6DqeBACJ","sexualviolence",""
809756974065811500,3099248950,"Fri Dec 16 13:48:01 +0000 2016","RT @UKSAYSNOMORE: This can be a significant change for all  those experiencing domestic and #SexualViolence - more to follow\nhttps://t.co/Q…","SexualViolence","UKSAYSNOMORE"
809747781174890500,3702871,"Fri Dec 16 13:11:30 +0000 2016","Tunisians reveal abuses they endured before the Arab Spring https://t.co/SH9XsVBw1j #sexualviolence #Tunisia","sexualviolence, Tunisia",""
809744493213864000,4257792501,"Fri Dec 16 12:58:26 +0000 2016","RT @UKSAYSNOMORE: This can be a significant change for all  those experiencing domestic and #SexualViolence - more to follow\nhttps://t.co/Q…","SexualViolence","UKSAYSNOMORE"
809744426079809500,1709729294,"Fri Dec 16 12:58:10 +0000 2016","A reminder that #IstanbulConvention aims to protect and prevent all forms of #VAWG inc. #sexualviolence #FGM - not solely #domesticviolence","IstanbulConvention, VAWG, sexualviolence, FGM, domesticviolence",""
