"id","user.id","created_at","text","hashtags","user_mentions"
809312366932303900,2189535732,"Thu Dec 15 08:21:19 +0000 2016","RT @ladygaga: ""Till you're standing in my shoes, I don't wanna hear nothing from u, from u, from u. Cuz you don't know"" -#TIHTY https://t.c…","TIHTY","ladygaga"
808755501555220500,491009548,"Tue Dec 13 19:28:32 +0000 2016","Ojalá suceda, y este hombre y otros miles se callen de una puta vez.\n\nDejen de glorificar el abuso sexual 😡… https://t.co/oYhKviVyUj","",""
808542181342453800,2183549862,"Tue Dec 13 05:20:52 +0000 2016","RT @LbL_Hor: Much love &amp; luck to U!I send hugs, @ladygaga &amp; @Diane_Warren helped me too w/ #TIHTY Hope YOU WIN!You are BRAVE! #PepsiHalftim…","TIHTY","LbL_Hor, ladygaga, Diane_Warren"
808534513450184700,708744188620312600,"Tue Dec 13 04:50:24 +0000 2016","RT @LbL_Hor: Much love &amp; luck to U!I send hugs, @ladygaga &amp; @Diane_Warren helped me too w/ #TIHTY Hope YOU WIN!You are BRAVE! #PepsiHalftim…","TIHTY","LbL_Hor, ladygaga, Diane_Warren"
808413449520746500,32969033,"Mon Dec 12 20:49:20 +0000 2016","Much love &amp; luck to U!I send hugs, @ladygaga &amp; @Diane_Warren helped me too w/ #TIHTY Hope YOU WIN!You are BRAVE!… https://t.co/3YLPT1ArFz","TIHTY","ladygaga, Diane_Warren"
808076239919546400,23246523,"Sun Dec 11 22:29:23 +0000 2016","RT @LuaMeyerok: Esto me hace querer llorar!😢 #TIHTY #Gaga #AnimalRights https://t.co/kGYQK0d1Zc","TIHTY, Gaga, AnimalRights","LuaMeyerok"
808075715040149500,2308820700,"Sun Dec 11 22:27:18 +0000 2016","Esto me hace querer llorar!😢 #TIHTY #Gaga #AnimalRights https://t.co/kGYQK0d1Zc","TIHTY, Gaga, AnimalRights",""
807431677433679900,1320141588,"Sat Dec 10 03:48:07 +0000 2016","#20MinutesofAction4Change #16daysofactivism #VAW\n#FaceUpToDV #PutTheNailinIt #YesAllWomen #HeForShe #ItsOnUs… https://t.co/6fGA80O2bx","20MinutesofAction4Change, 16daysofactivism, VAW, FaceUpToDV, PutTheNailinIt, YesAllWomen, HeForShe, ItsOnUs",""
807056593183379500,32969033,"Fri Dec 09 02:57:40 +0000 2016","@ladygaga May we always give back to you, what you have given us. #strength Many of us know about #ptsd I have it, U helped w/ #tihty ily","strength, ptsd, tihty","ladygaga"
806844139396399100,350263926,"Thu Dec 08 12:53:27 +0000 2016","RT @LabOfHookers: Today we went back onto the Sydney streets for more #TIHTY promotion with our fanmade posters! Watch below @ladygaga\nhttp…","TIHTY","LabOfHookers, ladygaga"
806788286349836300,491009548,"Thu Dec 08 09:11:31 +0000 2016","cuando sigue en campaña junto a Diane Warren y el vicepresidente de Estados Unidos para combatir el abuso, #ItsOnUs #TIHTY","ItsOnUs, TIHTY",""
806787593966751700,491009548,"Thu Dec 08 09:08:46 +0000 2016","cuando donó las ganancias de #TIHTY para combatir el abuso sexual en los Campus estaodunidenses","TIHTY",""
806532270815219700,343313276,"Wed Dec 07 16:14:12 +0000 2016","#tihty","tihty",""
806314330081939500,704961592027435000,"Wed Dec 07 01:48:11 +0000 2016","RT @CSNMDVSA: #LadyGaga Reveals She Has #PTSD: ‘I Have a Mental Illness’ (Video) https://t.co/rwmQHChta9 #TillItHappensToYou #TIHTY #Chicag…","LadyGaga, PTSD, TillItHappensToYou, TIHTY","CSNMDVSA"
