"id","user.id","created_at","text","hashtags","user_mentions"
809639316737716200,618812507,"Fri Dec 16 06:00:30 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809634285661491200,702550219427156000,"Fri Dec 16 05:40:30 +0000 2016","El cadÃ¡ver de Anna Fritz  https://t.co/shy60xHszO  @ericeszri26cer1 #tilithappenstoyou #xvideos","tilithappenstoyou, xvideos","ericeszri26cer1"
809393833465315300,805038866952552400,"Thu Dec 15 13:45:02 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809392036445044700,493010023,"Thu Dec 15 13:37:53 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809389074184278000,759051918924582900,"Thu Dec 15 13:26:07 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809376408476807200,1349327058,"Thu Dec 15 12:35:47 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809371470191280100,1393908169,"Thu Dec 15 12:16:10 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809367869624635400,775266952151523300,"Thu Dec 15 12:01:52 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809364774119153700,2899227195,"Thu Dec 15 11:49:34 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
809357645031342100,343322188,"Thu Dec 15 11:21:14 +0000 2016","RT @JackScarr1: The world should know what you've done. #TilItHappensToYou #Irony #Lowlife #MyHeartStillBleeds","TilItHappensToYou, Irony, Lowlife, MyHeartStillBleeds","JackScarr1"
