"id","user.id","created_at","text","hashtags","user_mentions"
809802498231988200,1648550480,"Fri Dec 16 16:48:55 +0000 2016","RT @CAVAvalonEast: #WeBelieveYou #EndViolenceNL #collaboration https://t.co/YmZKl78x6M","WeBelieveYou, EndViolenceNL, collaboration","CAVAvalonEast"
809802175325044700,4211062060,"Fri Dec 16 16:47:38 +0000 2016","#WeBelieveYou #EndViolenceNL #collaboration https://t.co/YmZKl78x6M","WeBelieveYou, EndViolenceNL, collaboration",""
809766507702009900,2516702406,"Fri Dec 16 14:25:54 +0000 2016","@BridgettheBrave | If you haven't already, reach out to @endrapeoncampus They have good resources to help. Change WILL come! #WeBelieveYou 💜","WeBelieveYou","BridgettheBrave, endrapeoncampus"
809730912170688500,1191500480,"Fri Dec 16 12:04:28 +0000 2016","RT @CRASAC: If you've tried ignoring it &amp; it still pains, helpline 10-2pm: 02476277777 #webelieveyou https://t.co/crdSBfyeX6","webelieveyou","CRASAC"
809684521218084900,47615698,"Fri Dec 16 09:00:07 +0000 2016","If you've tried ignoring it &amp; it still pains, helpline 10-2pm: 02476277777 #webelieveyou https://t.co/crdSBfyeX6","webelieveyou",""
809591243411898400,721992744210550800,"Fri Dec 16 02:49:28 +0000 2016","RT @GlenfordCanning: Polls show ‘I Believe You’ campaign improving response to sexual assault survivors #Webelieveyou #believesurvivors htt…","Webelieveyou, believesurvivors","GlenfordCanning"
809562166655324200,31344647,"Fri Dec 16 00:53:56 +0000 2016","RT @Kat7600999: Good to hear Julians voice for real. He can  say it a million times. The media sucks. #WEBELIEVEYOU https://t.co/cxZPpMIT5n","WEBELIEVEYOU","Kat7600999"
809559355431342100,748330599249645600,"Fri Dec 16 00:42:45 +0000 2016","Good to hear Julians voice for real. He can  say it a million times. The media sucks. #WEBELIEVEYOU https://t.co/cxZPpMIT5n","WEBELIEVEYOU",""
809530229907746800,102382314,"Thu Dec 15 22:47:01 +0000 2016","RT @GlenfordCanning: Polls show ‘I Believe You’ campaign improving response to sexual assault survivors #Webelieveyou #believesurvivors htt…","Webelieveyou, believesurvivors","GlenfordCanning"
809447830356185100,1633984034,"Thu Dec 15 17:19:36 +0000 2016","Belief is powerful—Canadian ‘I Believe You’ campaign improves response to sexual assault survivors:https://t.co/zvRxiZFe6m #WeBelieveYou","WeBelieveYou",""
