"id","user.id","created_at","text","hashtags","user_mentions"
809776476719452200,99379216,"Fri Dec 16 15:05:31 +0000 2016","RT @DivANarcBlog: https://t.co/eY5rULxXhG Its hard 2 leave #whyistayed #narcissisticabuse #domesticviolence #maybehedoesnthityou #lovedoesn…","whyistayed, narcissisticabuse, domesticviolence, maybehedoesnthityou","DivANarcBlog"
809776272071082000,747420988518760400,"Fri Dec 16 15:04:42 +0000 2016","https://t.co/eY5rULxXhG Its hard 2 leave #whyistayed #narcissisticabuse #domesticviolence #maybehedoesnthityou… https://t.co/4C7zcpa0RK","whyistayed, narcissisticabuse, domesticviolence, maybehedoesnthityou",""
809767259459690500,182055131,"Fri Dec 16 14:28:54 +0000 2016","Holy smokes! So scary true! \n#WhyIStayed #WhyILeft https://t.co/2tuMKvwodR","WhyIStayed, WhyILeft",""
809669179024560100,763096259783749600,"Fri Dec 16 07:59:09 +0000 2016","#whyistayed #whyileft https://t.co/ed3Dyp4eaZ","whyistayed, whyileft",""
809640833976631300,808000544656805900,"Fri Dec 16 06:06:31 +0000 2016","RT @DonnaVigneri: #whyistayed because I was being controlled #whyileft because I finally saw a bad future for us and knew I had to change it","whyistayed, whyileft","DonnaVigneri"
809640604577697800,808000544656805900,"Fri Dec 16 06:05:37 +0000 2016","RT @BevJohnst: @DivANarcBlog @joujoubateekh Because he made you believe you were worthless #WhyIStayed","WhyIStayed","BevJohnst, DivANarcBlog, joujoubateekh"
809640024413237200,808000544656805900,"Fri Dec 16 06:03:18 +0000 2016","RT @2Zab: Trying to demonstrate what honesty and integrity look like, hoping he'll ""get it"" some day. He won't. #WhyIStayed #MaybeHeDoesntH…","WhyIStayed","2Zab"
809572290279120900,885780523,"Fri Dec 16 01:34:09 +0000 2016","#WhyIStayed To make in America on time before The Great Wall of Trump come","WhyIStayed",""
808993711136866300,737313700109910000,"Wed Dec 14 11:15:05 +0000 2016","@NoNameDVWarrior @HadiaTajik @nytimes I went back to protect my kids.  #WhyIStayed","WhyIStayed","NoNameDVWarrior, HadiaTajik, nytimes"
808942299455459300,490176537,"Wed Dec 14 07:50:48 +0000 2016","RT @hotoynoodle: @IamMarcusBlack go look for the #WhyIStayed thread &amp; open your mansplaining eyes abt other people's reality.","WhyIStayed","hotoynoodle, IamMarcusBlack"
808773816394645500,808345001931472900,"Tue Dec 13 20:41:18 +0000 2016","2/2 No. No, he didn't. He loved me so hard, made me believe it was all my fault. I love him, so I believed him. #WhyIStayed #SPNFamily #AKF","WhyIStayed, SPNFamily, AKF",""
808773144249036800,26237014,"Tue Dec 13 20:38:38 +0000 2016","RT @DivANarcBlog: Amber Heard writes to #silentsisters everywhere #domesticviolence #Maybehedoesnthityou #whyistayed #lovedoesnthurt https:…","silentsisters, domesticviolence, Maybehedoesnthityou, whyistayed, lovedoesnthurt","DivANarcBlog"
808773046802808800,26237014,"Tue Dec 13 20:38:15 +0000 2016","RT @DivANarcBlog: Amber Heard Speaks Up #domesticviolence #abuse #whyistayed #whyileft  https://t.co/M3y2nCXBdw via @YouTube","domesticviolence, abuse, whyistayed, whyileft","DivANarcBlog, YouTube"
808768433357779000,804804685894979600,"Tue Dec 13 20:19:55 +0000 2016","RT @DivANarcBlog: My Sister Didn't Get Out of Her Marriage Alive #domesticviolence #abuse #whyistayed https://t.co/VePlHY2WUC","domesticviolence, abuse, whyistayed","DivANarcBlog"
808768083712233500,747420988518760400,"Tue Dec 13 20:18:31 +0000 2016","know that u are not alone, all of ur #silentsisters are with u! https://t.co/gOEfaGOgS3 #whyileft #whyistayed #lovedoesnthurt #thatsnotlove","silentsisters, whyileft, whyistayed, lovedoesnthurt, thatsnotlove",""
808764659536957400,787437243241640000,"Tue Dec 13 20:04:55 +0000 2016","RT @DivANarcBlog: Amber Heard Speaks Up #domesticviolence #abuse #whyistayed #whyileft  https://t.co/M3y2nCXBdw via @YouTube","domesticviolence, abuse, whyistayed, whyileft","DivANarcBlog, YouTube"
808762454251630600,747420988518760400,"Tue Dec 13 19:56:09 +0000 2016","Amber Heard writes to #silentsisters everywhere #domesticviolence #Maybehedoesnthityou #whyistayed #lovedoesnthurt https://t.co/Gbjmf8CdHF","silentsisters, domesticviolence, Maybehedoesnthityou, whyistayed, lovedoesnthurt",""
808762182963961900,747420988518760400,"Tue Dec 13 19:55:05 +0000 2016","Amber Heard Speaks Up #domesticviolence #abuse #whyistayed #whyileft  https://t.co/M3y2nCXBdw via @YouTube","domesticviolence, abuse, whyistayed, whyileft","YouTube"
808762111220478000,2207094126,"Tue Dec 13 19:54:48 +0000 2016","RT @DivANarcBlog: My Sister Didn't Get Out of Her Marriage Alive #domesticviolence #abuse #whyistayed https://t.co/VePlHY2WUC","domesticviolence, abuse, whyistayed","DivANarcBlog"
808759452040130600,747420988518760400,"Tue Dec 13 19:44:14 +0000 2016","My Sister Didn't Get Out of Her Marriage Alive #domesticviolence #abuse #whyistayed https://t.co/VePlHY2WUC","domesticviolence, abuse, whyistayed",""
808754992462975000,99379216,"Tue Dec 13 19:26:30 +0000 2016","RT @DivANarcBlog: #whyistayed #emotionalabuse #narcissisticabuse #leaving https://t.co/zH9aCnCtxz","whyistayed, emotionalabuse, narcissisticabuse, leaving","DivANarcBlog"
808754072970899500,99379216,"Tue Dec 13 19:22:51 +0000 2016","RT @DivANarcBlog: https://t.co/zH9aCnCtxz #whyistayed #maybehedoesnthityou #thatsnotlove #lovedoesnthurt #narcissisticabuse #emotionalabuse…","whyistayed, maybehedoesnthityou, thatsnotlove, lovedoesnthurt, narcissisticabuse, emotionalabuse","DivANarcBlog"
808753175553396700,99379216,"Tue Dec 13 19:19:17 +0000 2016","RT @TakeCourageMom: On average, abuse occurs for 3 years after she leaves #WhyIStayed #DV https://t.co/TqXD4pJgr6","WhyIStayed, DV","TakeCourageMom"
808749514983030800,99379216,"Tue Dec 13 19:04:44 +0000 2016","RT @miemiiiek: #WhyIStayed \n#rapecultureiswhen #YesAllWomen \n考えなければならないこと多すぎて頭パンクする https://t.co/4nuW1HofUC","WhyIStayed, rapecultureiswhen, YesAllWomen","miemiiiek"
808748345220952000,99379216,"Tue Dec 13 19:00:05 +0000 2016","Dear America, you might want to start educating yourself about #abusiverelationships #WhyIStayed \n\n#trumpregret \n\nhttps://t.co/n28tFjVftL","abusiverelationships, WhyIStayed, trumpregret",""
