"id","user.id","created_at","text","hashtags","user_mentions"
809804732390719500,533253262,"Fri Dec 16 16:57:48 +0000 2016","RT @daliataboun: He is innocent until proven guilty but I am a liar until proven honest #WhyWomenDontReport","WhyWomenDontReport","daliataboun"
809804529688514600,533253262,"Fri Dec 16 16:56:59 +0000 2016","RT @endrapeoncampus: #WhyWomenDontReport: Fear of not being believed &amp; retaliation. Your experience is valid. You are worthy of belief &amp; su…","WhyWomenDontReport","endrapeoncampus"
809650414836707300,57597299,"Fri Dec 16 06:44:36 +0000 2016","When you see this in a @guardian thread about Lady Gaga's PTSD, and you are reminded once more #whywomendontreport https://t.co/896MZnFPzz","whywomendontreport","guardian"
809471166226251800,809090926782087200,"Thu Dec 15 18:52:19 +0000 2016","#WhyWomenDontReport: we have to testify in front of them. can't take the satisfactory looks from them across the room as we give the details","WhyWomenDontReport",""
809432324089606100,63054460,"Thu Dec 15 16:17:59 +0000 2016","#whywomendontreport #SurvivorsSpeak ""Piers Morgan questions Lady Gaga, Madonna's sexual assault allegations"" https://t.co/3R0pmvYh9T","whywomendontreport, SurvivorsSpeak",""
809418650323193900,872046174,"Thu Dec 15 15:23:39 +0000 2016","also why on earth would women ever report at this point? because the justice system has been so kind to survivors? #whywomendontreport","whywomendontreport",""
809343953325658100,21496817,"Thu Dec 15 10:26:50 +0000 2016","RT @TheRubyMaeMoore: How 2016 has screwed (quite literally) women: #WhyWomenDontReport words : @JessEspinX \nhttps://t.co/xQAALS2v8Y - what…","WhyWomenDontReport","TheRubyMaeMoore, JessEspinX"
809322297559568400,2846631759,"Thu Dec 15 09:00:46 +0000 2016","RT @daliataboun: He is innocent until proven guilty but I am a liar until proven honest #WhyWomenDontReport","WhyWomenDontReport","daliataboun"
809321163222564900,371824249,"Thu Dec 15 08:56:16 +0000 2016","RT @daliataboun: He is innocent until proven guilty but I am a liar until proven honest #WhyWomenDontReport","WhyWomenDontReport","daliataboun"
809264262652842000,3257407058,"Thu Dec 15 05:10:10 +0000 2016","RT @heycindy_: #WhyWomenDontReport \n""what were you wearing?"" and ""did you do anything to lead him on"" are more frequently asked than ""are y…","WhyWomenDontReport","heycindy_"
809232922775613400,4868688743,"Thu Dec 15 03:05:38 +0000 2016","RT @dawnstotlar: #Rape\n#SexualAssault\n#Madonna\n\n#PEOTUS #Rapist #SexualPredator\n#SexualAssault \n#whywomendontreport\nWe elect #Rapists to be…","Rape, SexualAssault, Madonna, PEOTUS, Rapist, SexualPredator, SexualAssault, whywomendontreport, Rapists","dawnstotlar"
809180132904607700,1952510090,"Wed Dec 14 23:35:52 +0000 2016","#Rape\n#SexualAssault\n#Madonna\n\n#PEOTUS #Rapist #SexualPredator\n#SexualAssault \n#whywomendontreport\nWe elect… https://t.co/ru0dLElpXq","Rape, SexualAssault, Madonna, PEOTUS, Rapist, SexualPredator, SexualAssault, whywomendontreport",""
809146193230123000,136412872,"Wed Dec 14 21:21:00 +0000 2016","RT @amormagazineUK: @Duplica123 @BBCWorld @BBCNews you may want to read our article on #WhyWomenDontReport words : @JessEspinX \nhttps://t.c…","WhyWomenDontReport","amormagazineUK, Duplica123, BBCWorld, BBCNews, JessEspinX"
809092013392019500,202688050,"Wed Dec 14 17:45:42 +0000 2016","Interested in Women's rights? You may want to read our article on #WhyWomenDontReport words : @jessespin_x link... https://t.co/vJ9XHFZmMT","WhyWomenDontReport",""
